Title;HELLOKITTY;;;;;
ParentID;org:HELLO_KITTY_INTL;;;;;
ID;org:HELLO_KITTY_INTL_S1;;;;;
Season;S01;;;;;
Sequence;1;;;;;
Episodes;S01E101;S01E102;S01E103;S01E104;S01E105;S01E106
Genres;av_genre_kids;av_subgenre_animation_adventure;;;;
ReleaseYear;2022;;;;;
OriginalLanguage;en-US;;;;;
OrganizationID;amazonkids;;;;;
Copyright;2022 Watch Next Media;;;;;
;;;;;;
LocalizedInfo;Language;TitleDisplay;Summary;;;
;ja-JP;Hello Kitty: Super Style! (英語) [Amazon Kids+に含まれています] – Season 1;「ハローキティ：　スーパースタイル！」が配信開始に！大人気キャラクター、ハローキティがCGアニメーションになって登場。スタイリッシュかつ優しくて勇敢な小さな町のヒーローとして大活躍します。魔法のリボンの力を使って、シェフやスポーツ選手、探偵などに変身。困っているお友達を助けながら問題を解決、危機を乗り越えていきます。;;;
;;;;;;
AltIDs;Namespace;Identifier;;;;
;ORG;HELLO_KITTY_INTL_S1;;;;
;;;;;;
Ratings;Country;System;Value;Reason;;
;JP;EIRIN;G;V;;
;;;;;;
CompanyCredits;Language;Credit;;;;
;en-US;Watch Next Media;;;;
;;;;;;
People;Job;BillingOrder;Names;;;
;Actor;1;en-US,Sarah Williams;;;
;Actor;2;en-US,Gary Mack;;;
;Actor;3;en-US,Lindsay Sheppard;;;
;Actor;4;en-US,Billy Bob Thompson;;;
;Actor;5;en-US,Kara Edwards;;;
;Actor;6;en-US,Nicholas Andrew Louie;;;
;Actor;7;en-US,Kaylin Clinton;;;
;Actor;8;en-US,Nophi Mitchell;;;
;Writer;1;en-US,Myles McLeod;;;
;Director;1;en-US,Jérémy Guiter;;;
;Director;2;en-US,Sylvain Rohart;;;
;Producer;1;en-US,Philippe Alessandri;;;
;Producer;2;en-US,Massimo Carrier Ragazzi;;;
;Producer;3;en-US,Giorgio Welter;;;
;;;;;;
ArtReference;Resolution;Purpose;Filename;;;
;1600x1200;boxart;AMAZONKIDS_HELLOKITTY_SEASON1_BOX_4x3.png;;;
;1920x1080;cover;AMAZONKIDS_HELLOKITTY_SEASON1_COVER_16x9.png;;;
